A	B	Rel
JMJD7-PLA2G4B	FADS2	ECrel
PLA2G1B	FADS2	ECrel
PLA2G2D	FADS2	ECrel
PLA2G4A	FADS2	ECrel
PLA2G5	FADS2	ECrel
PLA2G6	FADS2	ECrel
ALDH2	ACYP2	ECrel
ME3	LDHA	ECrel
MTHFD1	MTHFD1	ECrel
MTHFD1	MTHFD1L	ECrel
MTHFD1	MTHFD2L	ECrel
MTHFD1	SHMT1	ECrel
MTHFD1	SHMT2	ECrel
MTHFD1L	SHMT1	ECrel
MTHFD1L	SHMT2	ECrel
MTHFD2L	MTHFD1	ECrel
MTHFD2L	MTHFD1L	ECrel
MTHFD2L	MTHFD2L	ECrel
MTHFD2L	MTHFR	ECrel
MTHFD2L	SHMT1	ECrel
MTHFD2L	SHMT2	ECrel
MTHFR	MTHFD1	ECrel
SHMT1	MTHFD1	ECrel
SHMT1	MTHFR	ECrel
SHMT2	MTHFD1	ECrel
SHMT2	MTHFR	ECrel
MAPK3	ETS1	PPrel
BCAR1	CRK	PPrel
CDC42	PAK1	PPrel
CDC42	PAK2	PPrel
CDC42	PAK4	PPrel
CDC42	PAK6	PPrel
CDC42	RAC1	PPrel
CDC42	RAC2	PPrel
CDC42	RAC3	PPrel
CRK	RAPGEF1	PPrel
HRAS	PIK3CD	PPrel
HRAS	PIK3R3	PPrel
IGF1	KDR	PPrel
ILK	AKT1	PPrel
ILK	AKT3	PPrel
ITGB5	PRKCA	PPrel
ITGB5	PRKCB	PPrel
ITGB5	PRKCG	PPrel
ITGB5	PTK2	PPrel
ITGB7	PRKCA	PPrel
ITGB7	PRKCB	PPrel
ITGB7	PRKCG	PPrel
ITGB7	PTK2	PPrel
JUN	CCND2	GErel
KDR	PIK3CD	PPrel
KDR	PIK3R3	PPrel
KDR	PTK2	PPrel
KDR	SHC2	PPrel
KDR	SHC4	PPrel
MYLK2	MYL12B	PPrel
MYLK2	MYL9	PPrel
PAK1	MYLK2	PPrel
PAK2	MYLK2	PPrel
PAK4	MYLK2	PPrel
PAK6	MYLK2	PPrel
PDGFA	KDR	PPrel
PDGFB	KDR	PPrel
PDGFC	KDR	PPrel
PGF	KDR	PPrel
PIK3CD	AKT1	PPrel
PIK3CD	AKT3	PPrel
PIK3CD	ILK	PPrel
PIK3CD	VAV2	PPrel
PIK3CD	VAV3	PPrel
PIK3R3	AKT1	PPrel
PIK3R3	AKT3	PPrel
PIK3R3	ILK	PPrel
PIK3R3	VAV2	PPrel
PIK3R3	VAV3	PPrel
PPP1CB	MYL12B	PPrel
PPP1CB	MYL9	PPrel
PPP1R12A	MYL12B	PPrel
PPP1R12A	MYL9	PPrel
PRKCA	PTK2	PPrel
PRKCB	PTK2	PPrel
PRKCG	PTK2	PPrel
PTEN	PTK2	PPrel
PTK2	BCAR1	PPrel
PTK2	CAPN2	PPrel
PTK2	PIK3CD	PPrel
PTK2	PIK3R3	PPrel
PTK2	SHC2	PPrel
PTK2	SHC4	PPrel
RAC1	PAK1	PPrel
RAC1	PAK2	PPrel
RAC1	PAK4	PPrel
RAC1	PAK6	PPrel
RAC2	PAK1	PPrel
RAC2	PAK2	PPrel
RAC2	PAK4	PPrel
RAC2	PAK6	PPrel
RAC3	PAK1	PPrel
RAC3	PAK2	PPrel
RAC3	PAK4	PPrel
RAC3	PAK6	PPrel
RAPGEF1	RAP1A	PPrel
ROCK1	MYL12B	PPrel
ROCK1	MYL9	PPrel
ROCK1	PPP1CB	PPrel
ROCK1	PPP1R12A	PPrel
SOS1	HRAS	PPrel
VAV2	RAC1	PPrel
VAV2	RAC2	PPrel
VAV2	RAC3	PPrel
VAV3	RAC1	PPrel
VAV3	RAC2	PPrel
VAV3	RAC3	PPrel
VEGFA	KDR	PPrel
AKT1	MAP3K8	PPrel
AKT3	MAP3K8	PPrel
CD28	PIK3CD	PPrel
CD28	PIK3R3	PPrel
CD4	LCK	PPrel
CD8A	LCK	PPrel
CD8B	LCK	PPrel
GRAP2	LCP2	PPrel
HRAS	FOS	PPrel
HRAS	JUN	PPrel
ICOS	CD40LG	PPrel
ICOS	PIK3CD	PPrel
ICOS	PIK3R3	PPrel
IKBKB	NFKBIA	PPrel
IKBKB	NFKBIB	PPrel
ITK	LCP2	PPrel
ITK	VAV2	PPrel
ITK	VAV3	PPrel
LAT	GRAP2	PPrel
LCK	ZAP70	PPrel
MAP2K2	MAPK3	PPrel
MAP3K8	MAP3K14	PPrel
MAPK11	NFATC2	PPrel
MAPK3	FOS	PPrel
MAPK3	JUN	PPrel
PIK3CD	AKT1	PPrel
PIK3CD	AKT3	PPrel
PIK3R3	AKT1	PPrel
PIK3R3	AKT3	PPrel
PPP3CA	NFATC2	PPrel
PPP3R1	NFATC2	PPrel
PTPRC	LCK	PPrel
RASGRP1	HRAS	PPrel
SOS1	RASGRP1	PPrel
VAV2	CDC42	PPrel
VAV2	LCP2	PPrel
VAV3	CDC42	PPrel
VAV3	LCP2	PPrel
ZAP70	CD247	PPrel
ZAP70	LAT	PPrel
ZAP70	LCP2	PPrel
ZAP70	MAPK11	PPrel
AKT1	BAD	PPrel
AKT1	FOXO3	PPrel
AKT1	NFKBIA	PPrel
AKT1	NFKBIB	PPrel
AKT3	BAD	PPrel
AKT3	FOXO3	PPrel
AKT3	NFKBIA	PPrel
AKT3	NFKBIB	PPrel
CALM2	CAMK2B	PPrel
CALM2	CAMK4	PPrel
CALML5	CAMK2B	PPrel
CALML5	CAMK4	PPrel
CAMK2B	ATF4	PPrel
CAMK4	ATF4	PPrel
CDC42	MAP3K5	PPrel
CRK	RAPGEF1	PPrel
GAB1	PIK3CD	PPrel
GAB1	PIK3R3	PPrel
HRAS	MAP3K3	PPrel
HRAS	MAPK11	PPrel
HRAS	PIK3CD	PPrel
HRAS	PIK3R3	PPrel
IKBKB	NFKBIA	PPrel
IKBKB	NFKBIB	PPrel
MAP2K2	MAPK3	PPrel
MAPK3	HRAS	PPrel
MAPK3	RPS6KA3	PPrel
MAPK7	RPS6KA3	PPrel
NTF3	NTRK3	PPrel
NTRK3	PLCG2	PPrel
NTRK3	SH2B1	PPrel
NTRK3	SH2B3	PPrel
NTRK3	SHC2	PPrel
NTRK3	SHC4	PPrel
PIK3CD	AKT1	PPrel
PIK3CD	AKT3	PPrel
PIK3R3	AKT1	PPrel
PIK3R3	AKT3	PPrel
PLCG2	CALM2	PPrel
PLCG2	CALML5	PPrel
RAC1	MAP3K5	PPrel
RAPGEF1	RAP1A	PPrel
RPS6KA3	ATF4	PPrel
RPS6KA3	HRAS	PPrel
SHC2	GAB1	PPrel
SHC4	GAB1	PPrel
SOS1	HRAS	PPrel
EGR1	CCL5	GErel
MAP2K2	MAPK3	PPrel
ARAF	MAP2K2	PPrel
CALM2	CAMK2B	PPrel
CALML5	CAMK2B	PPrel
CAMK2B	HRAS	PPrel
HRAS	ARAF	PPrel
HRAS	PIK3CD	PPrel
HRAS	PIK3R3	PPrel
MAP2K2	MAPK3	PPrel
PRKCA	HRAS	PPrel
PRKCB	HRAS	PPrel
PRKCG	HRAS	PPrel
SOS1	HRAS	PPrel
