Disease	Gene	Score			Disease	Gene	Score			Disease	Gene	Score
Breast Carcinoma	AKT1	0.2418			Malignant neoplasm of breast	AKT1	0.2420			Atypical Ductal Breast Hyperplasia	AKT1	0.0003
Breast Carcinoma	PIK3CD	0.0448			Malignant neoplasm of breast	PIK3CD	0.0475			Hereditary Breast and Ovarian Cancer Syndrome	HRAS	0.0003
Breast Carcinoma	MAPK3	0.0118			Malignant neoplasm of breast	KDR	0.0119			Inflammatory Breast Carcinoma	AKT1	0.0005
Breast Carcinoma	HRAS	0.0077			Malignant neoplasm of breast	MAPK3	0.0110			Inflammatory Breast Carcinoma	PTK2	0.0005
Breast Carcinoma	BCAR1	0.0074			Malignant neoplasm of breast	PAK1	0.0095			Inflammatory Breast Carcinoma	PIK3CD	0.0003
Breast Carcinoma	PAK1	0.0069			Malignant neoplasm of breast	HRAS	0.0090			Invasive Ductal Breast Carcinoma	ATF4	0.2000
Breast Carcinoma	FOS	0.0060			Malignant neoplasm of breast	BCAR1	0.0080			Invasive Ductal Breast Carcinoma	PAK2	0.0003
Breast Carcinoma	CRK	0.0052			Malignant neoplasm of breast	FOS	0.0060					
Breast Carcinoma	RAC1	0.0052			Malignant neoplasm of breast	RAC1	0.0052			Disease	Gene	Score
Breast Carcinoma	KDR	0.0044			Malignant neoplasm of breast	MTHFD1	0.0048			Triple Negative Breast Neoplasms	PIK3CD	0.0047
Breast Carcinoma	CDC42	0.0041			Malignant neoplasm of breast	CRK	0.0047			Triple Negative Breast Neoplasms	AKT1	0.0022
Breast Carcinoma	PTK2	0.0033			Malignant neoplasm of breast	CDC42	0.0044			Triple Negative Breast Neoplasms	AKT3	0.0011
Breast Carcinoma	AKT3	0.0016			Malignant neoplasm of breast	PTK2	0.0036			Triple Negative Breast Neoplasms	MAPK3	0.0011
Breast Carcinoma	NTRK3	0.0014			Malignant neoplasm of breast	AKT3	0.0016			Triple Negative Breast Neoplasms	KDR	0.0008
Breast Carcinoma	RAC3	0.0014			Malignant neoplasm of breast	RAC3	0.0014			Triple Negative Breast Neoplasms	BCAR1	0.0005
Breast Carcinoma	VAV3	0.0014			Malignant neoplasm of breast	VAV3	0.0014			Triple Negative Breast Neoplasms	RAC1	0.0005
Breast Carcinoma	ATF4	0.0008			Malignant neoplasm of breast	LDHA	0.0008			Triple Negative Breast Neoplasms	ATF4	0.0003
Breast Carcinoma	LDHA	0.0008			Malignant neoplasm of breast	NTRK3	0.0008					
Breast Carcinoma	PLA2G6	0.0005			Malignant neoplasm of breast	ATF4	0.0005					
Breast Carcinoma	VAV2	0.0005			Malignant neoplasm of breast	PLA2G6	0.0005					
Breast Carcinoma	ICOS	0.0003			Malignant neoplasm of breast	VAV2	0.0005					
Breast Carcinoma	MAP3K3	0.0003			Malignant neoplasm of breast	ICOS	0.0003					
Breast Carcinoma	PAK2	0.0003			Malignant neoplasm of breast	MAP3K3	0.0003					
Breast Carcinoma	PAK4	0.0003			Malignant neoplasm of breast	PAK2	0.0003					
Breast Carcinoma	PAK6	0.0003			Malignant neoplasm of breast	PAK4	0.0003					
					Malignant neoplasm of breast	PAK6	0.0003					
					Malignant neoplasm of breast	PIK3R3	0.0003					
					Malignant neoplasm of breast	RAC2	0.0003					
