hgnc_id	symbol
5	A1BG
24086	A1CF
7	A2M
23336	A2ML1
30005	A3GALT2
18149	A4GALT
17968	A4GNT
13666	AAAS
21298	AACS
17	AADAC
24427	AADACL2
32037	AADACL3
32038	AADACL4
17929	AADAT
16881	AAED1
25662	AAGAB
19679	AAK1
30205	AAMDC
18	AAMP
19	AANAT
15886	AAR2
33842	AARD
20	AARS
21022	AARS2
28417	AARSD1
23993	AASDH
14235	AASDHPPT
17366	AASS
19235	AATF
21	AATK
23	ABAT
29	ABCA1
32	ABCA2
33	ABCA3
34	ABCA4
35	ABCA5
36	ABCA6
37	ABCA7
38	ABCA8
39	ABCA9
30	ABCA10
14637	ABCA12
14638	ABCA13
40	ABCB1
45	ABCB4
46	ABCB5
47	ABCB6
48	ABCB7
49	ABCB8
50	ABCB9
41	ABCB10
42	ABCB11
51	ABCC1
53	ABCC2
54	ABCC3
55	ABCC4
56	ABCC5
57	ABCC6
59	ABCC8
60	ABCC9
52	ABCC10
14639	ABCC11
14640	ABCC12
61	ABCD1
66	ABCD2
67	ABCD3
68	ABCD4
69	ABCE1
70	ABCF1
71	ABCF2
72	ABCF3
73	ABCG1
74	ABCG2
13884	ABCG4
13886	ABCG5
13887	ABCG8
17553	ABHD1
18717	ABHD2
18718	ABHD3
20154	ABHD4
21396	ABHD5
21398	ABHD6
23759	ABHD8
25656	ABHD10
16407	ABHD11
15868	ABHD12
19837	ABHD12B
20293	ABHD13
24538	ABHD14A
28235	ABHD14B
26971	ABHD15
13921	ABHD16A
16128	ABHD16B
28756	ABHD17A
24278	ABHD17B
26925	ABHD17C
26111	ABHD18
11320	ABI1
24011	ABI2
29859	ABI3
17265	ABI3BP
76	ABL1
77	ABL2
78	ABLIM1
19195	ABLIM2
29132	ABLIM3
79	ABO
81	ABR
30655	ABRA
21230	ABRACL
25829	ABRAXAS1
28975	ABRAXAS2
17369	ABT1
18275	ABTB1
23842	ABTB2
82	ACAA1
83	ACAA2
84	ACACA
85	ACACB
87	ACAD8
21497	ACAD9
21597	ACAD10
30211	ACAD11
88	ACADL
89	ACADM
90	ACADS
91	ACADSB
92	ACADVL
319	ACAN
16467	ACAP1
16469	ACAP2
16754	ACAP3
93	ACAT1
94	ACAT2
15453	ACBD3
23337	ACBD4
23338	ACBD5
23339	ACBD6
17715	ACBD7
23989	ACCS
34391	ACCSL
25070	ACD
2707	ACE
13557	ACE2
18356	ACER1
23675	ACER2
16066	ACER3
108	ACHE
17066	ACIN1
4035	ACKR1
1565	ACKR2
23692	ACKR3
