HGNC symbol	HGNC ID
MT-TF	7481
MT-RNR1	7470
MT-TV	7500
MT-RNR2	7471
MT-TL1	7490
MT-ND1	7455
MT-TI	7488
MT-TQ	7495
MT-TM	7492
MT-ND2	7456
MT-TW	7501
MT-TA	7475
MT-TN	7493
MT-TC	7477
MT-TY	7502
MT-CO1	7419
MT-TS1	7497
MT-TD	7478
MT-CO2	7421
MT-TK	7489
MT-ATP8	7415
MT-ATP6	7414
MT-CO3	7422
MT-TG	7486
MT-ND3	7458
MT-TR	7496
MT-ND4L	7460
MT-ND4	7459
MT-TH	7487
MT-TS2	7498
MT-TL2	7491
MT-ND5	7461
MT-ND6	7462
MT-TE	7479
MT-CYB	7427
MT-TT	7499
MT-TP	7494
IGHVIII-26-1	5698
IGHVII-26-2	5674
RPSAP68	51920
IGHV7-27	5663
OR8J2	15311
OR5T2	15296
IGHV4-28	5645
OR5T3	15297
LINC01666	52454
OR5T1	14821
ZNF92P1Y	39553
SNX18P10	39618
OR8H1	14824
MICU2	31830
MTCO1P1	7420
OR8I1P	14828
OR8K3	15313
FAM8A2P	16373
OR8K2P	14832
FNTAP2	3784
OR8K1	14831
IGKV1OR2-118	37488
HLA-Z	19394
RPL5P29	36335
OR8J1	14855
VARS	12651
OR8U8	27538
OR8U1	19611
OR8L1P	15316
IRF7	6122
OR9G1	15319
OR9G9	31940
OR9G3P	15321
NOP56P1	13962
PDS5B	20418
OR9G4	15322
LINC01623	52050
ZNF736P8Y	38406
IGHV3-30	5591
OR9G2P	15320
OR5G1P	8344
GPR12	4466
OR5G4P	15288
ZNF90P2	21687
BPY2DP	38794
HCG14	18323
RCL1	17687
KIR2DS2	6334
OR5G5P	15289
OR5G3	15287
EEF1A1P1	3191
ZNF736P7Y	38404
MIR3681HG	52001
KIR3DL3	16312
KLF4P1	49738
RPL32P23	36007
FGFR1OP2P1	39706
RPS21P8	39705
TUBAP	12411
LILRP2	15497
ZNF736P9Y	38408
JAGN1	26926
RPS20P32	36444
LILRP1	15496
MYOM1	7613
THEG	13706
RBMY2JP	23918
NOSTRIN	20203
PSMB1	9537
LINC00437	42772
TEKT4P2	40046
LINC00366	42688
HLA-DMA	4934
IGHVII-30-1	5676
RBM17	16944
HLA-DMB	4935
DDT	2732
TBL1YP1	23979
SPC25	24031
DDTL	33446
GSTT2	4642
G6PC2	28906
IGHV3-30-2	5592
IGHV4-31	5649
TRIB2	30809
ARMC4P1	44937
IGHV3-29	5590
IGHV3-33	5596
TAS2R7	14913
TAS2R8	14915
TAS2R9	14917
ZNF66	13135
FAM210CP	44938
RPS4Y2	18501
TRIAP1P1	31659
ZNF85	13160
LINC01689	52476
SMN2	11118
LINC01684	52472
HSFY4P	37721
TRIM27	9975
BNIP3P24	49704
LINC01692	52480
IGHVII-33-1	5678
IGHV3-33-2	5597
IGHV4-34	5650
IGHV7-34-1	5664
RPS7P10	39903
USP12-AS1	39961
IGHV3-35	5598
USP12	20485
IGHV3-36	5599
IGHV3-37	5600
IGHV3-38	5601
PTCHD3	24776
FGF9	3687
ANKRD30BP3	27873
GSTTP1	26930
CUBNP2	44984
IGHVIII-38-1	5699
OR6D1P	14849
USP6NL	16858
IGHV4-39	5651
IGHV7-40	5666
GAPDHP17	37765
LINC00276	38663
LINC02250	53148
TMEM167AP1	23956
TOMM22P1	38736
MEGF6	3232
LAMA1	6481
NEFLP1	37662
PRMT5	10894
IL17RE	18439
SNX18P12	39620
RBMY2KP	23888
PRR4	18020
TSPY24P	38725
ZNF736P6Y	38440
MTND6P1	38730
MTCYBP1	38729
LINC01667	52455
TAS2R43	18875
TAS2R13	14919
TAS2R14	14920
MTND1P1	38728
RPL13AP7	23755
TAS2R50	18882
LINC00423	42758
TAS2R20	19109
MTND2P3	38727
TAS2R10	14918
TAS2R31	19113
TAS2R45	18876
PRH2	9367
TAS2R15P	19106
TAS2R19	19108
TAS2R46	18877
TAS2R30	19112
LSM2	13940
SMIM10L1	49847
FAM84A	20743
HSP90AA4P	5255
LINC01320	50526
TOMM22P3	38739
TRIM60P3Y	38409
OR13A1	14772
LINC00158	1283
RPS8P10	35628
IGHV1OR15-1	5563
ZNF736P10Y	38410
KRT18P40	33409
LINC01194	37171
ENHO	24838
IGHV1OR15-3	5565
TM9SF2	11865
ITPR1	6180
LINC00412	42745
LINC02340	53260
USP12-AS2	39962
ATP10A	13542
NOC2L	24517
LINC00279	38724
TTTY18	18842
MAP1A	6835
TTTY19	18843
IGHV4OR15-8	5658
ALOX5	435
KL	6344
AGAP10P	23659
PGGT1BP1	45024
ZNF430	20808
IER3	5392
PRORY	38732
RBM23	20155
IGHV1OR15-4	5566
EIF3FP1	3276
MIR155HG	35460
ZNF512	29380
RBMY2EP	23890
HSPA1L	5234
ZC3H3	28972
HCG15	18361
CHCHD2P9	23676
VN1R7P	8496
CDH12P2	1752
SAMD11	28706
ECHDC3	23489
ZNF311	13847
PRPF19P1	23182
HSPA1A	5232
SLC4A1AP	13813
TTTY11	18492
RBMY2TP	23897
SPATA31E3P	43828
SERF1B	10756
FAM197Y10	37627
CDH19	1758
HSPA1B	5233
TSPY14P	23906
LINC02346	53268
SUPT7L	30632
OR2W1	8281
OR2B3	8238
A1CF	24086
MARCH8	23356
OR2J1	8259
CCDC121	25833
ZNF414	20630
EGOT	37129
TUBB8	20773
GPN1	17030
IGHVII-40-1	5679
FAM21FP	45011
IGHV3-41	5602
OR2J3	8261
LINC00424	42815
LRRC9	19848
HOMER2P1	20336
KSR1P1	44977
BRD7P6	37632
IGKV1OR10-1	44978
LGALS3	6563
WASHC2C	23414
OR2J2	8260
LINC02344	53264
RPS7	10440
FUNDC2P2	17247
STARD13	19164
IL9RP2	6032
ZNF70P1	13846
KIR3DP1	16343
PABPC1P8	37988
ASAH2B	23456
SCN5A	10593
TPTE	12023
PAXBP1	13579
HTATSF1P1	13959
PRMT5-AS1	40533
LINC01799	52589
LINC01628	52259
IGHV3-42	5603
TRMT1	25980
CDKN2AIPNLP2	39855
IGHV3-43	5604
MTND3P1	39856
ZNF396	18824
NME1P1	39904
IGHVIII-44	5700
IGHVIV-44-1	5710
IGHVII-44-2	5681
LTBP2	6715
IGHV1-45	5553
MEX3D	16734
PSAP	9498
LINC01039	49027
TUSC1	31010
SUMO2P1	13985
FBLN2	3601
FAM71BP1	49805
CFL1P8	39960
AKR1C1	384
ATP11A-AS1	40645
ATP11A	13552
TYK2	12440
